#,Razão Social,Nome Fantasia,Capital Social,Subgrupo,Categoria CNAE,Divisão CNAE,Grupo CNAE,Classe CNAE,CNAE,Submercado,Região,Estado,Cidade,Bairro,CNPJ,Email,Telefone,Consumo Classe (12M) MWMed,Consumo Classe Mês MWMed,Consumo Classe/Subm. (12M) MWMed,Consumo Classe/Subm. Mês MWMed,Consumo Classe/Estado (12M) MWMed,Consumo Classe/Estado Mês MWMed,Break-Even Classe/Distr. Mês,Break-Even Classe/Distr. 12M,Break-Even Classe/Distr./Subm. Mês,Break-Even Classe/Distr./Subm. 12M,Break-Even Classe/Distr./Est. Mês,Break-Even Classe/Distr./Est. 12M,Cresc. Consumo Classe (mês) %,Cresc. Consumo Classe/Subm. (mês) %,Cresc. Consumo Classe/Estado (mês) %,Cresc. Consumo Classe (mês ano ant.) %,Cresc. Consumo Classe/Subm. (mês ano ant.) %,Cresc. Consumo Classe/Estado (mês ano ant.) %
10,''PRIMEIRA IGREJA COMUNIDADE NOVA VISAO EM CURITIBA'',,,B3,Comercial,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,Atividades de organizações associativas não especificadas anteriormente,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,s,S,PR,CURITIBA,PINHEIRINHO,07958892000187,,41  33655360,"0,456","0,138","0,268","0,168",,,,,,,,,"-6,41","3,93",,"-69,76","-17,38",
11,''RECANTO VERDE PRACAS RESIDENCIAIS 1'',''RECANTO VERDE PRACAS RESIDENCIAIS 1'',,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,CAPAO RASO,17210452000109,admparana@admparana.com.br,41  38831700,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
12,''RECANTO VERDE PRACAS RESIDENCIAIS 2'',''RECANTO VERDE PRACAS RESIDENCIAIS 2'',,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,PINHEIRINHO,17504928000106,admparana@admparana.com.br,41  38831700,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
13,''RESIDENCIAL DAS HORTENSIAS - S01-04'',RESIDENCIAL DAS HORTENSIAS,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,CAMPO DO SANTANA,17870824000115,licitacao@aconsermed.com.br,41  33456064,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
14,''RESIDENCIAL OTTILIA BORSATO CAVICHIOLO'',CONDOMINIO RESIDENCIAL OTTILIA BORSATO CAVICHIOLO,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,PORTAO,07928619000100,f.jung@onda.com.br,41  33457322,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
15,''RESIDENCIAL PAULISTA A'',CONDOMINIO RESIDENCIAL PAULISTA A,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CAMPINA GRANDE DO SUL,JARDIM PAULISTA,12374736000109,confisul@confisul.com.br,41  36792170,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
16,''REZZIDENCIALE BELLA CASA'',CONDOMINIO REZZIDENCIALE BELLA CASA,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,AHU,15360284000102,,41  30159559,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
17,'CONDOMINIO RESIDENCIAL THE VIEW',,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,GUABIROTUBA,26489769000109,,41  33931746,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
18,'CONDOMINIO RESIDENCIAL VALENCIA VILLAGE',,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,CIDADE INDUSTRIAL,19783948000199,CAPITAL@CAPITALCONDOMINIOS.COM.BR,41  30930033,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
19,'ORTO CARDIO SERVICOS MEDICOS S/S',,5.000,B3,Comercial,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,Atividades de atenção ambulatorial executadas por médicos e odontólogos,Atividades de atenção ambulatorial executadas por médicos e odontólogos,Atividade médica ambulatorial restrita a consultas,s,S,PR,CURITIBA,BAIRRO ALTO,20430924000135,,41  99915214,"0,185","0,248",,,,,,,,,,,"1,26",,,"191,39",,
